Customer Name,Visit Date,Bank Name,Rating,Comment,bank_image
KUMA,"Feb 15, 2020",Axis Bank,😀,"""Need to decrease charges for all purposes""",https://static.bankbazaar.com/images/common/bank-logo/axis.png
AR,"Feb 15, 2020",Canara Bank,😀,"""Need to decrease charge """,https://static.bankbazaar.com/images/common/bank-logo/canara-bank.png
MUTHU,"Feb 15, 2020",HDFC Bank,😀,"""Need to decrease interest charge""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
ANONYMOUS,"Feb 15, 2020",SBI,🙂,"""Good account""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
RA,"Feb 15, 2020",Canara Bank,😀,"""Good service""",https://static.bankbazaar.com/images/common/bank-logo/canara-bank.png
PURUOLTE,"Feb 15, 2020",IDBI,😀,"""Good Account""",https://static.bankbazaar.com/images/common/bank-logo/idbi.png
PAZH,"Feb 15, 2020",IndusInd Bank,🙂,"""Average Services""",https://static.bankbazaar.com/images/common/bank-logo/indusind.png
CHUN,"Feb 15, 2020",Kotak,😀,"""Medium""",https://static.bankbazaar.com/images/common/bank-logo/kotak.png
SHAILESH,"Feb 15, 2020",SBI,😐,"""They need to work out a lot""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
DU,"Feb 15, 2020",Kotak,😀,"""Good """,https://static.bankbazaar.com/images/common/bank-logo/kotak.png
ROKADE,"Feb 15, 2020",Axis Bank,😐,"""Need to improve the services""",https://static.bankbazaar.com/images/common/bank-logo/axis.png
ROKADE,"Feb 15, 2020",SBI,😀,"""All facilities are good in SBI""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
HU,"Feb 15, 2020",Axis Bank,🙂,"""Good """,https://static.bankbazaar.com/images/common/bank-logo/axis.png
S,"Feb 14, 2020",SBI,😀,"""Good """,https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
UMAPATHY,"Feb 14, 2020",HDFC Bank,😀,"""Good """,https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
N F,"Feb 14, 2020",Citibank,🙂,"""Good bank""",https://static.bankbazaar.com/images/common/bank-logo/citibank.png
SIVARANJANI,"Feb 14, 2020",HDFC Bank,😀,"""Average Account""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
SUMAIR,"Feb 14, 2020",SBI,😀,"""Average Account""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
SUMAIR,"Feb 14, 2020",Axis Bank,😀,"""Good Account""",https://static.bankbazaar.com/images/common/bank-logo/axis.png
S,"Feb 14, 2020",IndusInd Bank,😀,"""Very Good Bank""",https://static.bankbazaar.com/images/common/bank-logo/indusind.png
SARIKA,"Feb 14, 2020",HDFC Bank,😀,"""Excellent Service""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
GYELMO,"Feb 14, 2020",Kotak,😀,"""Good Account""",https://static.bankbazaar.com/images/common/bank-logo/kotak.png
ANONYMOUS,"Feb 13, 2020",HDFC Bank,🙂,"""Good Account""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
R,"Feb 13, 2020",SBI,🙂,"""Good""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
Anonyms,"Feb 13, 2020",HDFC Bank,😀,"""Service is not good""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
D H,"Feb 13, 2020",SBI,😀,"""One of the good service compared to private bank""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
KONDAMMA,"Feb 13, 2020",SBI,🙂,"""Average Account""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
GANGISETTY,"Feb 13, 2020",Citibank,😀,"""Superb Account""",https://static.bankbazaar.com/images/common/bank-logo/citibank.png
PRASAD,"Feb 13, 2020",HDFC Bank,😀,"""Fantastic Account""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
C M,"Feb 13, 2020",HDFC Bank,😀,"""Convenient account for the customer""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
SAHU,"Feb 13, 2020",HDFC Bank,🙂,"""Good Account""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
S K P,"Feb 12, 2020",SBI,🙂,"""Good""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
D S,"Feb 12, 2020",SBI,😀,"""Best savings account""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
A,"Feb 12, 2020",HDFC Bank,😀,"""Best savings account""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
G,"Feb 12, 2020",HDFC Bank,😐,"""Better service""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
KUMAR,"Feb 12, 2020",SBI,😀,"""Need to improve service""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
G,"Feb 12, 2020",Axis Bank,🙂,"""Good service """,https://static.bankbazaar.com/images/common/bank-logo/axis.png
G L,"Feb 12, 2020",SBI,🙂,"""Best saving accocunt """,https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
TA,"Feb 11, 2020",SBI,🙂,"""Good """,https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
BH,"Feb 11, 2020",Axis Bank,😀,"""Good """,https://static.bankbazaar.com/images/common/bank-logo/axis.png
S A,"Feb 11, 2020",IndusInd Bank,😀,"""Services are very good""",https://static.bankbazaar.com/images/common/bank-logo/indusind.png
XIT,"Feb 10, 2020",Punjab National Bank,😐,"""Need to improve customer service""",https://static.bankbazaar.com/images/common/bank-logo/punjab-national-bank.png
SH,"Feb 10, 2020",HDFC Bank,🙂,"""Good """,https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
AJ,"Feb 10, 2020",SBI,😀,"""Good service""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
R,"Feb 10, 2020",IndusInd Bank,🙂,"""Best account""",https://static.bankbazaar.com/images/common/bank-logo/indusind.png
shailendra   pushkar,"Feb 07, 2020",IDBI,😠,"""idbi services""",https://static.bankbazaar.com/images/common/bank-logo/idbi.png
KUMAR,"Feb 06, 2020",SBI,😀,"""Need to decrease interest charge """,https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
ANONYMOUS,"Feb 06, 2020",Axis Bank,🙂,"""Good """,https://static.bankbazaar.com/images/common/bank-logo/axis.png
D BHURUBHA,"Feb 06, 2020",HDFC Bank,😀,"""Excellent Service""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
EN,"Feb 06, 2020",Citibank,😀,"""Excellent""",https://static.bankbazaar.com/images/common/bank-logo/citibank.png
A,"Feb 06, 2020",SBI,😀,"""Best savings account""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
B,"Feb 06, 2020",HDFC Bank,😀,"""Best savings account""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
IK,"Feb 05, 2020",HDFC Bank,🙂,"""Good service """,https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
ZA,"Feb 05, 2020",SBI,🙂,"""Good account """,https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
MA,"Feb 04, 2020",Canara Bank,😐,"""Need to improve the customer service """,https://static.bankbazaar.com/images/common/bank-logo/canara-bank.png
MA,"Feb 04, 2020",SBI,😀,"""Good service""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
,"Feb 03, 2020",Axis Bank,😐,"""Need to improve  their service""",https://static.bankbazaar.com/images/common/bank-logo/axis.png
A,"Feb 03, 2020",Kotak,😀,"""Best savings account""",https://static.bankbazaar.com/images/common/bank-logo/kotak.png
AJ,"Feb 03, 2020",Axis Bank,😀,"""Good""",https://static.bankbazaar.com/images/common/bank-logo/axis.png
FAZAL  M,"Feb 03, 2020",Kotak,🙂,"""Good""",https://static.bankbazaar.com/images/common/bank-logo/kotak.png
Y,"Feb 02, 2020",IDBI,🙂,"""Good service""",https://static.bankbazaar.com/images/common/bank-logo/idbi.png
R,"Feb 02, 2020",SBI,😞,"""Need to improve in service""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
A R,"Jan 31, 2020",SBI,😀,"""Good and reliable bank""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
ROY,"Jan 31, 2020",HDFC Bank,😀,"""Good in private bank """,https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
ANONYMOUS,"Jan 31, 2020",IDBI,😀,"""Good Account""",https://static.bankbazaar.com/images/common/bank-logo/idbi.png
K P,"Jan 31, 2020",HDFC Bank,🙂,"""Good Bank""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
N   KUMAR,"Jan 31, 2020",SBI,😀,"""Good Service""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
S N,"Jan 30, 2020",Axis Bank,😀,"""Process is good""",https://static.bankbazaar.com/images/common/bank-logo/axis.png
S,"Jan 30, 2020",SBI,🙂,"""Good account""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
SAN,"Jan 30, 2020",Axis Bank,🙂,"""Best saving account""",https://static.bankbazaar.com/images/common/bank-logo/axis.png
GAURAV,"Jan 30, 2020",HDFC Bank,😀,"""Best bank """,https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
DU,"Jan 30, 2020",Kotak,🙂,"""Good service""",https://static.bankbazaar.com/images/common/bank-logo/kotak.png
E P S,"Jan 30, 2020",Axis Bank,😀,"""Good account""",https://static.bankbazaar.com/images/common/bank-logo/axis.png
S,"Jan 30, 2020",SBI,😀,"""Best savings account""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
Anonyms,"Jan 30, 2020",Kotak,🙂,"""Growing bank""",https://static.bankbazaar.com/images/common/bank-logo/kotak.png
S K S,"Jan 30, 2020",HDFC Bank,🙂,"""Okay Account""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
R,"Jan 29, 2020",HDFC Bank,😀,"""Good""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
NARESH,"Jan 29, 2020",HDFC Bank,😀,"""Good service""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
CHIKKANNAGARI  A,"Jan 29, 2020",Axis Bank,😞,"""Need to improve in service""",https://static.bankbazaar.com/images/common/bank-logo/axis.png
C,"Jan 29, 2020",HDFC Bank,🙂,"""Best savings account""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
ANONYMOUS,"Jan 29, 2020",Axis Bank,😀,"""Good Bank""",https://static.bankbazaar.com/images/common/bank-logo/axis.png
GOWNI,"Jan 29, 2020",SBI,😐,"""Average Service """,https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
ANONYMOUS,"Jan 29, 2020",SBI,😀,"""Good Bank for loan purpose""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
S S B,"Jan 29, 2020",HDFC Bank,😐,"""Best savings account """,https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
ANONYMOUS,"Jan 28, 2020",HDFC Bank,😞,"""Improve on communication skills""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
ANONYMOUS,"Jan 28, 2020",SBI,😞,"""Improve on employee skills""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
ANONYMOUS,"Jan 28, 2020",Kotak,😀,"""Good Service  but improve on branches""",https://static.bankbazaar.com/images/common/bank-logo/kotak.png
M SHAIKH,"Jan 28, 2020",HDFC Bank,😀,"""Excellent Service""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
KATHI,"Jan 28, 2020",Kotak,😀,"""Good Service""",https://static.bankbazaar.com/images/common/bank-logo/kotak.png
KATHI,"Jan 28, 2020",SBI,😀,"""Good Account""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
J T,"Jan 28, 2020",HDFC Bank,🙂,"""Excellent""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
J,"Jan 28, 2020",SBI,🙂,"""Best savings account""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
JAGADEESH,"Jan 28, 2020",Kotak,😀,"""Good one""",https://static.bankbazaar.com/images/common/bank-logo/kotak.png
A A,"Jan 28, 2020",HDFC Bank,😡,"""Need to improve in service""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
M,"Jan 28, 2020",Axis Bank,😀,"""Best savings account""",https://static.bankbazaar.com/images/common/bank-logo/axis.png
MUNIGALA  K,"Jan 28, 2020",HDFC Bank,😀,"""Best savings account""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
R R,"Jan 27, 2020",SBI,😀,"""Overall good account""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
G,"Jan 27, 2020",SBI,😀,"""Good""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
ILABEN,"Jan 27, 2020",SBI,😀,"""Good Account""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
A K M,"Jan 27, 2020",HDFC Bank,😀,"""Good Account""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
GANGABASAVANAHALLI PUTTA,"Jan 27, 2020",Kotak,🙂,"""Good Account""",https://static.bankbazaar.com/images/common/bank-logo/kotak.png
M N,"Jan 27, 2020",HDFC Bank,🙂,"""Best savings account""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
P A,"Jan 25, 2020",HDFC Bank,😀,"""Good Account""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
ANONYMOUS,"Jan 25, 2020",SBI,🙂,"""Customer care service has to be improved""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
PALLAVI,"Jan 25, 2020",SBI,😀,"""Best Account""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
MANJUNATH,"Jan 24, 2020",Canara Bank,😡,"""Need to improve the branch service""",https://static.bankbazaar.com/images/common/bank-logo/canara-bank.png
MANJUNATH,"Jan 24, 2020",HDFC Bank,😀,"""Best Account""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
Anonyms,"Jan 24, 2020",SBI,🙂,"""Good Account""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
Anonyms,"Jan 24, 2020",HDFC Bank,🙂,"""Good Account""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
MASAM,"Jan 24, 2020",HDFC Bank,😀,"""Very Good account to maintain""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
MANIKANDAN,"Jan 24, 2020",Axis Bank,😀,"""Good Account""",https://static.bankbazaar.com/images/common/bank-logo/axis.png
MUNIYAPPA,"Jan 24, 2020",Kotak,😀,"""They can improve on the service part""",https://static.bankbazaar.com/images/common/bank-logo/kotak.png
ANJA,"Jan 24, 2020",Axis Bank,😀,"""Service is good""",https://static.bankbazaar.com/images/common/bank-logo/axis.png
R,"Jan 24, 2020",HDFC Bank,😀,"""Best saving account""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
KUMAR,"Jan 23, 2020",Axis Bank,🙂,"""Good service""",https://static.bankbazaar.com/images/common/bank-logo/axis.png
S,"Jan 22, 2020",SBI,🙂,"""Best saving account""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
A SIRCILLA,"Jan 22, 2020",SBI,😀,"""Good Service""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
ANONYMOUS,"Jan 22, 2020",IDBI,😀,"""Good Account""",https://static.bankbazaar.com/images/common/bank-logo/idbi.png
T K,"Jan 22, 2020",HDFC Bank,😀,"""Nice Account""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
ARBIND,"Jan 22, 2020",Axis Bank,😀,"""Best savings account""",https://static.bankbazaar.com/images/common/bank-logo/axis.png
ANONYMOUS,"Jan 22, 2020",SBI,😀,"""Best Account""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
ANONYMOUS,"Jan 22, 2020",HDFC Bank,🙂,"""Good Account""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
V M A,"Jan 21, 2020",SBI,😞,"""They don't respect and respond the customer""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
P KUMAR,"Jan 21, 2020",SBI,😀,"""Excellent Service""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
ANONYMOUS,"Jan 21, 2020",SBI,😀,"""Safe account""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
PRATHYUSHA,"Jan 21, 2020",HDFC Bank,😀,"""Offers will be more so i recommend""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
T E,"Jan 21, 2020",SBI,😞,"""They have to improve""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
R,"Jan 21, 2020",SBI,😀,"""Good bank""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
ANONYMOUS,"Jan 21, 2020",SBI,🙂,"""Good bank and good service""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
ANONYMOUS,"Jan 21, 2020",Citibank,🙂,"""Good Account""",https://static.bankbazaar.com/images/common/bank-logo/citibank.png
N  KUMAR,"Jan 21, 2020",HDFC Bank,🙂,"""Excellent Service """,https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
AHMAD,"Jan 21, 2020",SBI,😀,"""Good Service""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
BU,"Jan 20, 2020",IDBI,😀,"""Good service """,https://static.bankbazaar.com/images/common/bank-logo/idbi.png
DU,"Jan 20, 2020",HDFC Bank,😀,"""Good service""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
RAJA,"Jan 20, 2020",SBI,😀,"""Best savings account, good customer service""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
D R,"Jan 20, 2020",HDFC Bank,🙂,"""Very good to use""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
GANESH,"Jan 20, 2020",Axis Bank,😐,"""Good Service""",https://static.bankbazaar.com/images/common/bank-logo/axis.png
AR,"Jan 20, 2020",SBI,🙂,"""Good account """,https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
H  SINGH,"Jan 20, 2020",Kotak,😀,"""Very good service """,https://static.bankbazaar.com/images/common/bank-logo/kotak.png
RAJ,"Jan 20, 2020",HDFC Bank,🙂,"""Best saving bank for family""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
MAR,"Jan 20, 2020",SBI,😀,"""Good service""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
A,"Jan 20, 2020",SBI,😀,"""Best savings account""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
KORRA  B,"Jan 20, 2020",IndusInd Bank,😀,"""Excellent service""",https://static.bankbazaar.com/images/common/bank-logo/indusind.png
RAJEDNRA,"Jan 20, 2020",Axis Bank,🙂,"""Average Service""",https://static.bankbazaar.com/images/common/bank-logo/axis.png
S,"Jan 20, 2020",Citibank,😀,"""Good service """,https://static.bankbazaar.com/images/common/bank-logo/citibank.png
S R J,"Jan 20, 2020",IndusInd Bank,😞,"""Okay Account """,https://static.bankbazaar.com/images/common/bank-logo/indusind.png
RAJ,"Jan 20, 2020",Kotak,😀,"""Good Account""",https://static.bankbazaar.com/images/common/bank-logo/kotak.png
M,"Jan 20, 2020",SBI,😐,"""Need to improve in service""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
M T,"Jan 20, 2020",HDFC Bank,😀,"""Best salary account""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
USHA,"Jan 20, 2020",Axis Bank,😀,"""Good one""",https://static.bankbazaar.com/images/common/bank-logo/axis.png
PRAS,"Jan 20, 2020",Kotak,😀,"""Good saving account """,https://static.bankbazaar.com/images/common/bank-logo/kotak.png
J,"Jan 20, 2020",HDFC Bank,😀,"""Best savings account""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
JOSEPH,"Jan 20, 2020",Kotak,😐,"""Need to improve customer service """,https://static.bankbazaar.com/images/common/bank-logo/kotak.png
LA,"Jan 20, 2020",Kotak,🙂,"""Good account """,https://static.bankbazaar.com/images/common/bank-logo/kotak.png
KA,"Jan 20, 2020",HDFC Bank,😐,"""Good account """,https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
VENU,"Jan 19, 2020",SBI,😞,"""Average services""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
LI,"Jan 19, 2020",SBI,🙂,"""Need to decrease charge""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
DEEPAK,"Jan 18, 2020",HDFC Bank,🙂,"""Good account""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
S K,"Jan 18, 2020",HDFC Bank,😐,"""Need to improve the service""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
VENKATACHALAM,"Jan 18, 2020",SBI,😀,"""Good Support""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
RAFIQ,"Jan 18, 2020",SBI,🙂,"""Good App""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
P,"Jan 18, 2020",SBI,🙂,"""Best savings account""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
IL,"Jan 18, 2020",HDFC Bank,😀,"""Good service""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
P,"Jan 18, 2020",SBI,🙂,"""Best savings account""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
KUCKIAN,"Jan 18, 2020",Kotak,😀,"""Best Service""",https://static.bankbazaar.com/images/common/bank-logo/kotak.png
J,"Jan 18, 2020",Kotak,😀,"""Best savings account""",https://static.bankbazaar.com/images/common/bank-logo/kotak.png
R K D,"Jan 17, 2020",HDFC Bank,😞,"""Not reliable service from HDFC""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
DEVARAJ,"Jan 17, 2020",SBI,😐,"""Old school banking""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
DEVARAJ,"Jan 17, 2020",Citibank,😀,"""Hassle free service""",https://static.bankbazaar.com/images/common/bank-logo/citibank.png
B C,"Jan 17, 2020",SBI,🙂,"""Need to improve in customer service""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
NAGARAJU,"Jan 17, 2020",SBI,😀,"""Good Account""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
BAJAJ,"Jan 17, 2020",Kotak,😀,"""Good Account""",https://static.bankbazaar.com/images/common/bank-logo/kotak.png
M S,"Jan 17, 2020",HDFC Bank,😀,"""Best savings account""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
RAJIV,"Jan 17, 2020",Kotak,🙂,"""Best savings account""",https://static.bankbazaar.com/images/common/bank-logo/kotak.png
MURTHI,"Jan 17, 2020",HDFC Bank,😀,"""Good Account""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
SAI,"Jan 16, 2020",Citibank,😀,"""Good account """,https://static.bankbazaar.com/images/common/bank-logo/citibank.png
SAINATH,"Jan 16, 2020",SBI,😀,"""Good account""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
ST,"Jan 16, 2020",Kotak,😀,"""Need to decrease charge """,https://static.bankbazaar.com/images/common/bank-logo/kotak.png
UL,"Jan 16, 2020",HDFC Bank,😀,"""Good service """,https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
N S,"Jan 16, 2020",SBI,😀,"""Everyone must have the national bank account""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
SH,"Jan 16, 2020",HDFC Bank,😀,"""User friendly account""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
SOM,"Jan 16, 2020",Axis Bank,😀,"""Good service """,https://static.bankbazaar.com/images/common/bank-logo/axis.png
ANONYMOUS,"Jan 16, 2020",SBI,🙂,"""Good Bank Account""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
MA,"Jan 16, 2020",HDFC Bank,🙂,"""Good account""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
A N,"Jan 16, 2020",Axis Bank,😀,"""Good Account""",https://static.bankbazaar.com/images/common/bank-logo/axis.png
KIRAN,"Jan 14, 2020",SBI,😀,"""Need to decrease charge""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
KI,"Jan 14, 2020",HDFC Bank,😀,"""Need to decrease charge""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
MO,"Jan 14, 2020",SBI,😐,"""Good service""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
PA,"Jan 14, 2020",Axis Bank,😐,"""Need to decrease interest charge""",https://static.bankbazaar.com/images/common/bank-logo/axis.png
MUSALIGALLA,"Jan 14, 2020",HDFC Bank,🙂,"""Good account""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
S,"Jan 14, 2020",SBI,😀,"""Good saving account """,https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
RAJ,"Jan 13, 2020",Axis Bank,😀,"""Good Bank""",https://static.bankbazaar.com/images/common/bank-logo/axis.png
PRAKASH G,"Jan 13, 2020",Axis Bank,😀,"""Excellent & Very good""",https://static.bankbazaar.com/images/common/bank-logo/axis.png
S S,"Jan 13, 2020",HDFC Bank,😀,"""Excellent""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
RATHOD,"Jan 13, 2020",HDFC Bank,😀,"""Good account """,https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
SREELATHA,"Jan 12, 2020",Punjab National Bank,🙂,"""Good""",https://static.bankbazaar.com/images/common/bank-logo/punjab-national-bank.png
K M,"Jan 12, 2020",Kotak,😐,"""Need to improve in customer service""",https://static.bankbazaar.com/images/common/bank-logo/kotak.png
ISHAAN  T,"Jan 12, 2020",Kotak,🙂,"""Best savings account""",https://static.bankbazaar.com/images/common/bank-logo/kotak.png
DHARANESH,"Jan 11, 2020",SBI,😀,"""Excellent service""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
NAIR,"Jan 11, 2020",SBI,😀,"""Good account """,https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
AI,"Jan 10, 2020",Kotak,🙂,"""Good """,https://static.bankbazaar.com/images/common/bank-logo/kotak.png
RAI,"Jan 10, 2020",Canara Bank,🙂,"""Good """,https://static.bankbazaar.com/images/common/bank-logo/canara-bank.png
THULASI,"Jan 10, 2020",SBI,😀,"""Need to have more CDM's""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
ALAGARSAMY  M,"Jan 10, 2020",HDFC Bank,🙂,"""Need to decrease the rate of interest""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
ARUNA  K,"Jan 10, 2020",HDFC Bank,😀,"""Best savings account""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
ABHISHEK,"Jan 10, 2020",HDFC Bank,😀,"""Good service""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
MOKASHI,"Jan 10, 2020",SBI,😀,"""Good """,https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
RAMMURTHY  SHASHI KIRAN,"Jan 09, 2020",HDFC Bank,😀,"""Best service""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
R,"Jan 09, 2020",SBI,😞,"""Need to improve in customer service""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
ANONYMOUS,"Jan 09, 2020",Kotak,😐,"""Excellent bank""",https://static.bankbazaar.com/images/common/bank-logo/kotak.png
ASHOK,"Jan 09, 2020",HDFC Bank,😀,"""Very Good Account""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
ANONYMOUS,"Jan 09, 2020",Punjab National Bank,😀,"""Very Good bank""",https://static.bankbazaar.com/images/common/bank-logo/punjab-national-bank.png
ANONYMOUS,"Jan 09, 2020",SBI,😀,"""Very Good Account""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
ANONYMOUS,"Jan 09, 2020",IDBI,😀,"""Very Good Account""",https://static.bankbazaar.com/images/common/bank-logo/idbi.png
AR,"Jan 09, 2020",SBI,😐,"""Need to imrpove customer service """,https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
